"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-01",101.542,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-02",101.9123,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-03",102.2183,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-04",102.4331,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-05",102.5563,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-06",102.5958,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-07",102.5958,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-08",102.578,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-09",102.5478,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-10",102.4886,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-11",102.3656,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-12",102.1534,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-01",101.845,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-02",101.488,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-03",101.1392,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-04",100.8141,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-05",100.5327,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-06",100.3397,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-07",100.2706,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-08",100.3265,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-09",100.4503,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-10",100.5809,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-11",100.6672,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-12",100.6594,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-01",100.538,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-02",100.349,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-03",100.0977,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-04",99.82407,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-05",99.55751,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-06",99.27234,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-07",98.93356,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-08",98.51897,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-09",98.03213,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-10",97.52045,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-11",97.0574,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-12",96.69982,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-01",96.51198,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-02",96.53066,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-03",96.74998,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.14399,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-05",97.69597,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.35416,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.04923,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.73594,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-09",100.3944,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-10",101.0252,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-11",101.6158,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-12",102.1541,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-01",102.64,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-02",103.0273,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-03",103.272,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-04",103.3481,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-05",103.2479,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-06",102.9826,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-07",102.597,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-08",102.1695,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.775,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.4574,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-11",101.2239,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-12",101.0396,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-01",100.8038,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-02",100.4835,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-03",100.1298,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-04",99.79594,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-05",99.50468,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-06",99.25071,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-07",99.01213,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-08",98.78648,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-09",98.56342,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-10",98.37244,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-11",98.24824,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-12",98.22755,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-01",98.33039,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-02",98.57757,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-03",98.95444,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-04",99.40658,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.86743,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-06",100.2958,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-07",100.6642,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-08",100.9649,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-09",101.1832,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-10",101.3162,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-11",101.3712,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-12",101.3351,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-01",101.2001,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-02",100.9848,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-03",100.6922,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-04",100.3495,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-05",100.0037,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-06",99.70258,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-07",99.495,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-08",99.39011,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.38559,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.46706,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.6151,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.79347,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.96993,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-02",100.123,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.2439,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.3287,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.3609,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.3403,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.2898,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-08",100.2375,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-09",100.2088,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-10",100.1993,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-11",100.2037,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-12",100.2364,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-01",100.3096,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-02",100.3999,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-03",100.5004,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-04",100.5997,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-05",100.6907,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-06",100.7726,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-07",100.8406,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-08",100.8857,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-09",100.9304,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-10",100.9804,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.0532,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-12",101.1402,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-01",101.2169,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-02",101.2624,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-03",101.2634,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-04",101.2162,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-05",101.1402,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-06",101.0701,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-07",101.045,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-08",101.0856,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-09",101.199,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-10",101.3725,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-11",101.578,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1965-12",101.7745,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-01",101.9132,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-02",101.9455,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-03",101.8446,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-04",101.6135,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-05",101.2785,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-06",100.9041,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-07",100.5213,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-08",100.1508,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-09",99.79757,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-10",99.45603,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-11",99.14031,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1966-12",98.87176,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-01",98.67631,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-02",98.57249,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-03",98.59188,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-04",98.73834,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.99806,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.32167,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.66787,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.0012,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.2876,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.5145,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-11",100.6774,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1967-12",100.7779,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.8127,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.8139,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.804,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.7956,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.7969,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.8222,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.8858,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.9998,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-09",101.1641,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-10",101.3278,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-11",101.4306,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1968-12",101.4511,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-01",101.394,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-02",101.2678,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-03",101.083,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-04",100.8416,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-05",100.5495,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-06",100.2542,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-07",99.9931,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-08",99.7759,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-09",99.57869,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-10",99.36482,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-11",99.11367,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1969-12",98.82092,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-01",98.49516,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-02",98.17229,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-03",97.88374,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-04",97.65705,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-05",97.52285,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-06",97.47267,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-07",97.4759,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-08",97.5234,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-09",97.63417,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-10",97.84176,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-11",98.18579,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1970-12",98.65737,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-01",99.17043,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-02",99.6284,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-03",99.97,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-04",100.1916,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-05",100.3043,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-06",100.3424,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.3493,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1971-08",100.3718,
